name,address,lat,lng
렛츠런팜제주,제주특별자치도 제주시 조천읍 교래리 산 25-2,33.41699,126.681465
따라비오름,제주특별자치도 서귀포시 표선면 가시리 산 62,33.389156,126.75325
드라마월드,제주특별자치도 제주시 애월읍 봉성리 4556,33.352234,126.36064
동백동산,제주특별자치도 제주시 조천읍 선흘리 산 12,33.51234966,126.7072644
동문수산시장,인천 강화군 강화읍 관청리 148-8,37.7466584,126.4885805
동굴의 다원 다희연,제주특별자치도 제주시 조천읍 선흘리 2019-3 캐릭파크 내,33.4793016,126.700604
돈사돈,제주특별자치도 제주시 노형동 3086-3,33.47887,126.46408
돈내코,제주특별자치도 서귀포시 516로 (상효동),33.301105,126.577385
도순다원,제주특별자치도 서귀포시 도순동 1-1,33.273037,126.48306
도두봉,제주특별자치도 제주시 도두동 산 1,33.50764,126.4686
도두동 무지개 해안도로,제주특별자치도 제주시 도두1동,33.5093109,126.4739327
델문도,제주특별자치도 제주시 조천읍 함덕리 1008-1,33.54379,126.668846
더마파크,제주특별자치도 제주시 한림읍 월림7길 155,33.353992,126.24263
"더럭초등학교(구, 더럭분교)",제주특별자치도 제주시 애월읍 하가리 1580-1,33.453457,126.345276
대명리조트 제주,제주특별자치도 제주시 조천읍 함덕리 274,33.541286,126.671486
다랑쉬오름(월랑봉),제주특별자치도 제주시 구좌읍 세화리 6,33.4766607,126.8214352
누웨마루거리(구 바오젠),제주특별자치도 제주시 연동 273-1,33.48774,126.49034
누웨마루 페스티벌,제주특별자치도 제주시 연동 273-1,33.4877384,126.4903398
녹산로유채꽃길,제주특별자치도 서귀포시 표선면 가시리 산 87-15,33.39823,126.71993
노리매공원,제주특별자치도 서귀포시 대정읍 구억리 654-1,33.28257,126.287544
넥슨컴퓨터박물관,제주특별자치도 제주시 노형동 86,33.4862871,126.428576
너븐숭이 4.3기념관,제주특별자치도 제주시 조천읍 북촌리 1599,33.545986,126.68877
나미송 머무는 곳,제주특별자치도 제주시 애월읍 고성리 875-2,33.4108019,126.433164
꽃길만 걸어요 <제주 봄꽃 여행>,제주특별자치도 서귀포시 표선면 가시리 산 52-5,33.39273,126.7235
김지순의 낭푼밥상,제주특별자치도 제주시 연동 265-3,33.483483,126.4890064
김영갑갤러리 두모악,제주특별자치도 서귀포시 성산읍 삼달리 437-5,33.372063,126.85418
김녕사굴,제주특별자치도 제주시 구좌읍 덕천리 201-4,33.5011366,126.7742249
금악오름(왕매),제주특별자치도 제주시 한림읍 금악리 산 1-1,33.3529941,126.3139406
그리스신화박물관 / 트릭아이미술관,제주특별자치도 제주시 한림읍 금악리 산 30-12,33.3659432,126.35644
귤밭76번지,제주특별자치도 서귀포시 안덕면 상창리 906,33.283054,126.365265
"군산(군산오름,코메오름)",제주특별자치도 서귀포시 안덕면 창천리 564,33.25584,126.370255
국립제주박물관,제주특별자치도 제주시 건입동 261,33.5139974,126.5489702
관음사,제주특별자치도 제주시 아라1동 387,33.423782,126.55818
관덕정,제주특별자치도 제주시 삼도2동 983-1,33.513355,126.52145
곶자왈,제주특별자치도 서귀포시 대정읍 신평리,33.28449,126.27018
검멀레해변,제주특별자치도 제주시 우도면 우도해안길,33.49698481,126.9686027
감귤박물관,제주특별자치도 서귀포시 신효동 산 4,33.271523,126.60766
가파도,제주특별자치도 서귀포시 대정읍 가파리,33.170017,126.271515
가시아방,제주특별자치도 서귀포시 성산읍 고성리 528-2,33.4242095,126.931111
가뫼물,제주특별자치도 서귀포시 남원읍 남원리 2140-6,33.2899733,126.6935278
9.81 파크,제주특별자치도 제주시 애월읍 어음리 산 131,33.3928867,126.3586318
2020 제주 드라이브 잇쇼(2020 JEJU DRIVE EAT SHOW),제주특별자치도 제주시 제주종합경기장 주차장 일원,33.4975278,126.5146745
1100고지(휴게소),제주특별자치도 서귀포시 색달동 산 1-3,33.339912,126.43682
