"","date","place","mean"
"249","09","우도면",16.65
"250","10","우도면",5.01612903225806
"251","11","우도면",1.81666666666667
"252","12","우도면",2.14516129032258
"253","01","이도1동",2.86559139784946
"254","02","이도1동",2.34117647058824
"255","03","이도1동",3.68817204301075
"256","04","이도1동",3.06111111111111
"257","05","이도1동",3.3135593220339
"258","06","이도1동",6.99166666666667
"259","07","이도1동",8.41935483870968
"260","08","이도1동",15.5483870967742
"261","09","이도1동",21.725
"262","10","이도1동",11.9112903225806
"263","11","이도1동",1.63333333333333
"264","12","이도1동",2.91129032258065
"265","01","이도2동",2.86559139784946
"266","02","이도2동",2.34117647058824
"267","03","이도2동",3.68817204301075
"268","04","이도2동",3.06111111111111
"269","05","이도2동",3.3135593220339
"270","06","이도2동",6.99166666666667
"271","07","이도2동",8.41935483870968
"272","08","이도2동",15.5483870967742
"273","09","이도2동",21.725
"274","10","이도2동",11.9112903225806
"275","11","이도2동",1.63333333333333
"276","12","이도2동",2.91129032258065
"277","01","이호동",2.2741935483871
"278","02","이호동",1.75882352941176
"279","03","이호동",2.54301075268817
"280","04","이호동",2.55
"281","05","이호동",2.84677419354839
"282","06","이호동",6.225
"283","07","이호동",7.85483870967742
"284","08","이호동",10.3548387096774
"285","09","이호동",14.95
"286","10","이호동",9.79838709677419
"287","11","이호동",1.23333333333333
"288","12","이호동",2.54032258064516
"289","01","일도1동",2.86559139784946
"290","02","일도1동",2.34117647058824
"291","03","일도1동",3.68817204301075
"292","04","일도1동",3.06111111111111
"293","05","일도1동",3.3135593220339
"294","06","일도1동",6.99166666666667
"295","07","일도1동",8.41935483870968
"296","08","일도1동",15.5483870967742
"297","09","일도1동",21.725
"298","10","일도1동",11.9112903225806
"299","11","일도1동",1.63333333333333
"300","12","일도1동",2.91129032258065
"301","01","일도2동",2.86559139784946
"302","02","일도2동",2.34117647058824
"303","03","일도2동",3.68817204301075
"304","04","일도2동",3.06111111111111
"305","05","일도2동",3.3135593220339
"306","06","일도2동",6.99166666666667
"307","07","일도2동",8.41935483870968
"308","08","일도2동",15.5483870967742
"309","09","일도2동",21.725
"310","10","일도2동",11.9112903225806
"311","11","일도2동",1.63333333333333
"312","12","일도2동",2.91129032258065
"313","01","조천읍",2.24731182795699
"314","02","조천읍",1.97647058823529
"315","03","조천읍",3.51075268817204
"316","04","조천읍",3.15555555555556
"317","05","조천읍",4.08064516129032
"318","06","조천읍",7.04166666666667
"319","07","조천읍",9.25806451612903
"320","08","조천읍",10.8790322580645
"321","09","조천읍",14.9830508474576
"322","10","조천읍",10.3790322580645
"323","11","조천읍",1.725
"324","12","조천읍",2.16935483870968
"325","01","추자면",0.913978494623656
"326","02","추자면",1.11176470588235
"327","03","추자면",2.6505376344086
"328","04","추자면",2.67777777777778
"329","05","추자면",3.83064516129032
"330","06","추자면",5.91666666666667
"331","07","추자면",4.66129032258065
"332","08","추자면",5.29032258064516
"333","09","추자면",6.1864406779661
"334","10","추자면",5.33870967741935
"335","11","추자면",0.725
"336","12","추자면",1.2741935483871
"337","01","표선면",2.45698924731183
"338","02","표선면",3.55294117647059
"339","03","표선면",4.50537634408602
"340","04","표선면",5.55
"341","05","표선면",5.51639344262295
"342","06","표선면",8.1
"343","07","표선면",8.24193548387097
"344","08","표선면",7.46774193548387
"345","09","표선면",17.5166666666667
"346","10","표선면",7.75806451612903
"347","11","표선면",1.23333333333333
"348","12","표선면",2.36290322580645
"349","01","한경면",1.97849462365591
"350","02","한경면",2.11176470588235
"351","03","한경면",2.33333333333333
"352","04","한경면",2.70555555555556
"353","05","한경면",5.79838709677419
"354","06","한경면",6.675
"355","07","한경면",5.43548387096774
"356","08","한경면",8.5241935483871
"357","09","한경면",11.0416666666667
"358","10","한경면",4.75806451612903
"359","11","한경면",1.14166666666667
"360","12","한경면",2.4758064516129
"361","01","한림읍",1.97849462365591
"362","02","한림읍",2.11176470588235
"363","03","한림읍",2.33333333333333
"364","04","한림읍",2.70555555555556
"365","05","한림읍",5.79838709677419
"366","06","한림읍",6.675
"367","07","한림읍",5.43548387096774
"368","08","한림읍",8.5241935483871
"369","09","한림읍",11.0416666666667
"370","10","한림읍",4.75806451612903
"371","11","한림읍",1.14166666666667
"372","12","한림읍",2.4758064516129
"373","01","화북동",2.24731182795699
"374","02","화북동",1.97647058823529
"375","03","화북동",3.51075268817204
"376","04","화북동",3.15555555555556
"377","05","화북동",4.08064516129032
"378","06","화북동",7.04166666666667
"379","07","화북동",9.25806451612903
"380","08","화북동",10.8790322580645
"381","09","화북동",14.9830508474576
"382","10","화북동",10.3790322580645
"383","11","화북동",1.725
"384","12","화북동",2.16935483870968
"385","01","효돈동",2.09677419354839
"386","02","효돈동",3.12941176470588
"387","03","효돈동",4.17741935483871
"388","04","효돈동",5.51666666666667
"389","05","효돈동",10.1803278688525
"390","06","효돈동",7.53333333333333
"391","07","효돈동",7.51612903225806
"392","08","효돈동",7.65322580645161
"393","09","효돈동",13.3039215686275
"394","10","효돈동",6.91129032258065
"395","11","효돈동",1.39166666666667
"396","12","효돈동",2.7258064516129
