district,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
예래동,0.26695433495097765,0.2528031027569061,0.2174075376851719,0.3113791794989014,0.2876560175930456,0.2941717728494096,0.28235320594887003,0.27916029573372764,0.24360435728856236,0.22792061393291638,0.22440997544827884,0.25324346174395074
정방동,0.1489094233628597,0.12465208900728353,0.09578296398157654,0.12432038185632849,0.11742219729161618,0.10606967285645455,0.10364455165095796,0.10866063936560058,0.10541555481924864,0.10193778249313581,0.10464760106519333,0.13062058190443254
중문동,0.12519770312774892,0.18084560337579156,0.11257165412078476,0.14098702861440524,0.2238569389694338,0.1341004575521028,0.12502084440023736,0.22230681984500844,0.12035703613892781,0.21198486328813795,0.13833923362662,0.20197862766652533
중앙동,0.15120241518541527,0.13935321596839798,0.14128614163914283,0.14352912639690676,0.12285171653971624,0.14563020341106173,0.13746330342338078,0.11451361140935656,0.13085745733726042,0.12799535751406302,0.14706188524033398,0.15242844099121494
천지동,0.061784417085316595,0.03118146807902302,0.022131113683763255,0.03731088457525595,0.03582025140583373,0.028779726392437054,0.016551729861086363,0.02515761093207866,0.03224835256470783,0.02623862569269518,0.03695011246822175,0.043318977709493334
표선면,0.19127081911640617,0.1826004339430879,0.191121225487864,0.2713950057728841,0.2298008461464224,0.2254033893552001,0.21494376961333378,0.2268609801925604,0.2164243289462229,0.20418680627820493,0.200078860294712,0.19672778418372225
효돈동,0.03211663421989072,0.029635559140498015,0.019083634180440574,0.019402526019809484,0.018385993351003584,0.0162737350507949,0.011487594594269117,0.004953378061689488,0.01610608783687552,0.009288497875212777,0.021433971872723744,0.0332858837816654
건입동,0.18527773824128616,0.30563858514059605,0.18014302481669422,0.2055841319068614,0.30138682197052086,0.20445986653065235,0.16512777333716813,0.2525652926664732,0.19300272438695948,0.26778922373322167,0.18145744574712197,0.27479788560046425
구좌읍,0.19485287279006966,0.29686148371463594,0.20856299268557435,0.2652637113995087,0.3981738940990008,0.2651370943398125,0.2719155575554199,0.4233090214707517,0.24389050556300548,0.3331303892562427,0.19071469533804025,0.2719638280504456
노형동,0.6287096607941229,0.9615235676145902,0.6653736046181055,0.6934518899730895,1.0,0.6549962925330876,0.6412038374827542,1.0,0.6842203704472077,0.9999999999999999,0.6749721034031001,1.0
도두동,0.08566682536861475,0.12819168805108913,0.07603519517301113,0.09873208452795224,0.16378453460832731,0.09085382516385962,0.07753034175543322,0.13526947840323697,0.0691205295331684,0.13203733242984786,0.08053463648962084,0.121121848872184
봉개동,0.08466514765753258,0.1218913905915889,0.10091750051770798,0.12979354022024592,0.20762685403178208,0.1034349057500791,0.0867574003544733,0.15566347679832993,0.09215819561856325,0.17830986650569375,0.10477557359555553,0.16538829502887975
삼도1동,0.22794515719535885,0.21874308644455906,0.1978359547121228,0.2214720748737949,0.20403456042605805,0.2239532813531835,0.19747147746869126,0.1858573021154756,0.22197870936172356,0.19168610595216617,0.21334982829778942,0.21252163547961525
