"","date","place","mean"
"231","03","용담2동",8.67826086956522
"232","04","용담2동",12.2522222222222
"233","05","용담2동",18.0693548387097
"234","06","용담2동",20.425
"235","07","용담2동",24.5467741935484
"236","08","용담2동",25.8633333333333
"237","09","용담2동",21.5366666666667
"238","10","용담2동",15.7225806451613
"239","11","용담2동",11.1916666666667
"240","12","용담2동",6.53934426229508
"241","01","우도면",6.9554347826087
"242","02","우도면",7.85294117647059
"243","03","우도면",11.205376344086
"244","04","우도면",13.9752808988764
"245","05","우도면",17.9016129032258
"246","06","우도면",20.7220338983051
"247","07","우도면",24.7819672131148
"248","08","우도면",26.9645161290323
"249","09","우도면",23.564406779661
"250","10","우도면",18.9161290322581
"251","11","우도면",14.8766666666667
"252","12","우도면",9.4758064516129
"253","01","이도1동",3.85698924731183
"254","02","이도1동",4.50705882352941
"255","03","이도1동",8.67826086956522
"256","04","이도1동",12.2522222222222
"257","05","이도1동",18.0693548387097
"258","06","이도1동",20.425
"259","07","이도1동",24.5467741935484
"260","08","이도1동",25.8633333333333
"261","09","이도1동",21.5366666666667
"262","10","이도1동",15.7225806451613
"263","11","이도1동",11.1916666666667
"264","12","이도1동",6.53934426229508
"265","01","이도2동",3.85698924731183
"266","02","이도2동",4.50705882352941
"267","03","이도2동",8.67826086956522
"268","04","이도2동",12.2522222222222
"269","05","이도2동",18.0693548387097
"270","06","이도2동",20.425
"271","07","이도2동",24.5467741935484
"272","08","이도2동",25.8633333333333
"273","09","이도2동",21.5366666666667
"274","10","이도2동",15.7225806451613
"275","11","이도2동",11.1916666666667
"276","12","이도2동",6.53934426229508
"277","01","이호동",5.44086021505376
"278","02","이호동",5.95294117647059
"279","03","이호동",9.7989247311828
"280","04","이호동",12.9733333333333
"281","05","이호동",18.1967741935484
"282","06","이호동",20.8166666666667
"283","07","이호동",25.2741935483871
"284","08","이호동",27.1758064516129
"285","09","이호동",22.765
"286","10","이호동",17.1887096774194
"287","11","이호동",12.7233333333333
"288","12","이호동",7.51147540983607
"289","01","일도1동",3.85698924731183
"290","02","일도1동",4.50705882352941
"291","03","일도1동",8.67826086956522
"292","04","일도1동",12.2522222222222
"293","05","일도1동",18.0693548387097
"294","06","일도1동",20.425
"295","07","일도1동",24.5467741935484
"296","08","일도1동",25.8633333333333
"297","09","일도1동",21.5366666666667
"298","10","일도1동",15.7225806451613
"299","11","일도1동",11.1916666666667
"300","12","일도1동",6.53934426229508
"301","01","일도2동",3.85698924731183
"302","02","일도2동",4.50705882352941
"303","03","일도2동",8.67826086956522
"304","04","일도2동",12.2522222222222
"305","05","일도2동",18.0693548387097
"306","06","일도2동",20.425
"307","07","일도2동",24.5467741935484
"308","08","일도2동",25.8633333333333
"309","09","일도2동",21.5366666666667
"310","10","일도2동",15.7225806451613
"311","11","일도2동",11.1916666666667
"312","12","일도2동",6.53934426229508
"313","01","조천읍",4.98709677419355
"314","02","조천읍",5.7
"315","03","조천읍",9.64193548387097
"316","04","조천읍",13.0422222222222
"317","05","조천읍",18.3983870967742
"318","06","조천읍",20.6327272727273
"319","07","조천읍",24.8870967741935
"320","08","조천읍",26.5048387096774
"321","09","조천읍",22.2333333333333
"322","10","조천읍",16.7112903225806
"323","11","조천읍",12.4016666666667
"324","12","조천읍",7.42258064516129
"325","01","추자면",5.63225806451613
"326","02","추자면",6.31294117647059
"327","03","추자면",9.77741935483871
"328","04","추자면",12.6722222222222
"329","05","추자면",16.7887096774194
"330","06","추자면",19.915
"331","07","추자면",24.0693548387097
"332","08","추자면",25.855
"333","09","추자면",22.6052631578947
"334","10","추자면",18.2467741935484
"335","11","추자면",13.55
"336","12","추자면",8.15483870967742
"337","01","표선면",5.56666666666667
"338","02","표선면",6.25294117647059
"339","03","표선면",10.1978494623656
"340","04","표선면",13.6966292134831
"341","05","표선면",18.3822580645161
"342","06","표선면",21.02
"343","07","표선면",25.1548387096774
"344","08","표선면",27.0516129032258
"345","09","표선면",23.1633333333333
"346","10","표선면",17.4516129032258
"347","11","표선면",12.8866666666667
"348","12","표선면",7.79672131147541
"349","01","한경면",6.22150537634409
"350","02","한경면",6.74352941176471
"351","03","한경면",10.3279569892473
"352","04","한경면",13.7411111111111
"353","05","한경면",18.2451612903226
"354","06","한경면",21.1483333333333
"355","07","한경면",25.7677419354839
"356","08","한경면",27.6387096774194
"357","09","한경면",23.2883333333333
"358","10","한경면",17.8564516129032
"359","11","한경면",13.3466666666667
"360","12","한경면",8.53225806451613
"361","01","한림읍",6.22150537634409
"362","02","한림읍",6.74352941176471
"363","03","한림읍",10.3279569892473
"364","04","한림읍",13.7411111111111
"365","05","한림읍",18.2451612903226
"366","06","한림읍",21.1483333333333
"367","07","한림읍",25.7677419354839
"368","08","한림읍",27.6387096774194
"369","09","한림읍",23.2883333333333
"370","10","한림읍",17.8564516129032
"371","11","한림읍",13.3466666666667
"372","12","한림읍",8.53225806451613
"373","01","화북동",4.98709677419355
"374","02","화북동",5.7
"375","03","화북동",9.64193548387097
"376","04","화북동",13.0422222222222
"377","05","화북동",18.3983870967742
"378","06","화북동",20.6327272727273
"379","07","화북동",24.8870967741935
